,Individual,Population,Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
27,individual27,GBR,22,-0.0112468645956805,0.0267116441602438,-0.0120140300569944,-0.0174029186192572,0.00291331768252884,-0.000293382748794589,0.0172716091129817,0.0017352684072306,-0.00670672730025861,0.0222707364526288,0.00260453236574933,-0.0149873567330476,0.0270341462800774,0.011924391969544,-0.00715930336283383,0.00549350942026001,-0.000138064201583294,-0.032203478896257,-0.0159184298388675,-0.00642244302189323,0.0118160288750964,0.00444199731423803,0.000458787339867882,-0.0273259218178982,0.00687328486746473
28,individual28,GBR,22,-0.0107683825816362,0.0281149157115932,-0.0111153550631428,-0.0180136482770837,0.00214065675729023,0.00166173584021924,0.00895813269688739,0.000469923350028042,0.0062158572484236,0.0224612468108836,-0.00350732653050871,-0.0155811590066817,0.0119609385170369,0.00942070634038084,-0.00706901695080374,-0.00408286761689114,-0.00750866301990756,-0.00574408580720521,-0.0106070092756583,-0.0048030414089395,0.011437348105689,0.0104536189255482,0.0124261565759745,-0.0121884384308671,0.00257583180586339
29,individual29,GBR,22,-0.0115859673239978,0.0271590592078731,-0.0114449468130266,-0.0168207146943228,-0.00041509039034317,0.00634144652324153,0.00741360510168452,-0.00108426723623328,0.0033445617325096,0.0269400989806316,-0.00927433815921263,-0.0207397103740222,0.013041492104383,0.0146250398252864,0.00289891751434622,-0.00860761870277342,-0.0014482099126441,-0.0213906325336332,-0.0127625178451471,-0.00454237061782449,0.0136877397164443,0.00774566891325811,0.00762127081142706,-0.0243974498033141,-0.00118509678553643
30,individual30,GBR,22,-0.0107694722373197,0.0274893802730435,-0.00999938869072236,-0.0183690556781522,-0.00212592496921803,-0.00194118977121538,0.0102298353786592,0.00073429445407845,-0.00282072554078553,0.0338818379704833,-0.000689385760379112,-0.0101963945924404,0.0065838506307009,0.0107098283829628,-0.00756744866405015,-0.00513188689484811,-0.0119534685542727,-0.0101093047986955,-0.0206225131923167,-0.00415073660360392,0.0170991823274956,0.000720500757014999,0.00758599927855014,-0.0135080291602337,0.0143423130416593
31,individual31,GBR,22,-0.0112998942015095,0.0276267956124402,-0.0112875463490924,-0.017033592633592,0.00543706105214969,0.000768784821394399,0.0128060231208494,-0.00204572180911153,0.00703973160020296,0.0262979076059449,-0.00140105994133746,-0.0173706730406779,-0.00255687636936496,0.0180776382012065,0.00406772824950969,0.000169912330885546,0.0050619274637073,-0.00734694494430439,-0.0162425687568248,0.00029610020641927,0.00669908107922988,0.00328204534311928,0.00140373173226157,-0.012941715500611,-0.00436431576567991
32,individual32,GBR,22,-0.0107463764756856,0.0270850166808082,-0.0113365087840624,-0.0177365754397288,0.00232343351077485,0.00252539737778149,0.00260476112597825,-0.00126249992862871,0.00646134685915726,0.0290829390834936,0.00614188382957257,-0.0192127253274434,0.00361636948319488,0.0172752627670492,0.000692013640999977,-0.00144105297721448,-0.010921973460325,-0.00671498821424188,-0.0194956647509322,-0.010053039533854,0.00823206985759741,0.0120739362893614,-0.000926366657162455,-0.0153291638943984,-0.00302864751736374
33,individual33,GBR,22,-0.0104321044130725,0.0269303665820518,-0.0117667457716441,-0.0176726975095354,0.00112662115079455,-0.000549028167085659,0.0115328833006643,-0.00104966112123728,-0.00276365737453362,-0.00158712234073294,-0.00331578174173439,0.000256418822791093,0.0149393507307946,0.00549140553401378,-0.00368543383561581,0.00357958197997759,0.0016013047733934,-0.0283821024281096,-0.0246035921267387,-0.0106988488102393,0.0105374485740574,0.0180849681881162,0.00818758337925008,-0.0220809012080446,0.00649660147181238
34,individual34,GBR,22,-0.0108173138959418,0.0274047817408131,-0.0114537739763398,-0.017999952190286,0.000359140440557253,0.00147317077455403,0.00626181359535377,-0.00425327674932606,0.00160941902517966,0.0287602871877014,-0.000224906667363361,-0.0169623986928403,0.0184998504528799,0.0200661265582538,-0.0156784245362962,-0.0137450992839684,-0.00441025686315076,-0.0161911535021534,-0.0236854367316329,-0.00111850954327715,0.0179631992659893,0.0025683726227081,0.0139804789154446,-0.018312249251743,0.00132820510947479
35,individual35,GBR,22,-0.010813089981617,0.0269343606468921,-0.0115413147086447,-0.0176841433519778,0.00108486037132792,-0.000141634669507669,0.0100486347458945,-0.00336030999140553,-0.00309464657973261,0.00691158939186764,-0.00425975054295201,-0.00201055121396861,0.0185243220623468,0.00689598100883462,0.00252281771904023,-0.00271462597459479,-0.0052014163880888,-0.0313839021721222,-0.0289479156549063,-0.0089922456816685,0.0126632515623192,0.0112741183029366,-0.00577470242404003,-0.0162099801703877,0.0099663385191866
36,individual36,GBR,22,-0.01095237274181,0.0269432669932044,-0.0133149974971939,-0.0172893170436957,0.00308441636004309,0.00187778398286252,0.0150258202680989,0.00034011388037141,-0.00347844106357511,0.00350358879842343,-0.000356256676610433,-0.0100327914747516,0.0208325058231578,0.00564507935753086,-0.008039258288332,0.00856488051370493,-0.00285791720207456,-0.0217083673981458,-0.0108959782122862,-0.00780987009171665,0.0119172686529109,0.00608509357783177,0.00627903650287796,-0.0140852614662051,0.0101187939827461
37,individual37,GBR,22,-0.0110730913219507,0.0272904330447761,-0.012270880251743,-0.0184923836240019,0.00331993797358629,-0.00190634596395603,0.0143464155228556,-0.000301967593932234,-0.00438834652470955,0.00509386668390587,0.00213969477429489,-0.00826456930504109,0.0183870851008366,0.0115916936556106,-0.0117170169907387,0.00288133334079625,-0.00879562682528791,-0.0038434754462801,-0.0176155617168615,-0.0100035802541004,0.0182648697132122,0.00855343756943051,0.00228754259579668,-0.0217467397168681,0.0135833320713212
38,individual38,GBR,22,-0.0108810462468632,0.0274238641923618,-0.0132205537127895,-0.0177482703993908,0.00452825005094328,0.000293440810036917,0.011343452330131,-0.00261484466361676,-0.0064867406540061,-0.00019583976247229,0.00348335359254944,-0.00915652069254194,0.0123194610913218,0.0164228297482041,0.00159799958327034,0.0069450647782545,-0.0070681275853419,-0.00941219380587417,-0.0200017663846903,0.00587807796842191,0.00600068175185713,-0.000290426079566751,0.00747883365050803,-0.0112868286953818,0.0138656753403321
39,individual39,GBR,22,-0.0106014242423137,0.0268601486509494,-0.0130838348884324,-0.0193944908306555,0.00211863049989451,0.001203911632645,0.00854241401695821,0.00138011949142314,-0.000565944066473174,0.00139195281057354,0.00754250885118515,-0.0125130602198375,0.00880495635585319,0.0103131589570268,-0.00626152584998652,0.0119631182244717,-0.00689827582221694,-0.00650788792045083,-0.00984008673831104,-0.00220215193164545,0.0146176196161909,0.00552328354115861,0.000530141833168213,-0.00923550084728045,0.019687659713155
40,individual40,GBR,22,-0.0111617857389107,0.0271627504984834,-0.0124897464277329,-0.0183975890753505,0.00206426398526045,0.00230534565313284,0.0114431020169114,-0.000330798276667983,-0.00559651789811889,0.00972534448340146,0.0169745359230188,-0.00744000455190776,0.015370582147796,0.0194543906236048,-0.00804034037605245,0.00768786438143505,-0.00713697274866395,-0.0117213559848652,-0.0157947476181333,-0.000496550438335526,0.0056416521884348,0.000966799296260685,0.00912019969174887,-0.0137657187405686,0.0171271559879359
41,individual41,GBR,22,-0.0111380203391692,0.0279027378004735,-0.0117473406150018,-0.0165394674115704,0.00104352928626443,0.0039351750286672,0.0117559443049222,-0.000515108652559008,0.0012302664456528,0.0343268564393249,-0.000910474704549754,-0.0222360115042017,0.00254940631004332,0.0128970549750565,-0.00318762899264634,-0.0137616251652372,-1.07418981634622e-05,-0.00920883830508035,-0.017659914647782,-0.00695352033421891,0.00387340960628271,-8.24874165388129e-05,0.00886208059101557,-0.0108431833764416,0.00968235425093733
42,individual42,GBR,22,-0.0107677110575445,0.0273058631520887,-0.0116030570362349,-0.0189613014647912,0.00038441158256784,0.000612198012412985,0.00803384680468106,0.000978955797582437,-0.000201164954565639,0.0180537129829389,-0.00493524329496714,-0.0174192013882327,0.0121081343240181,0.001894075315424,-0.00353648864100249,0.00157338045605555,-0.000308870046494209,0.00334906348452653,-0.0112210484813703,-0.00230011615902233,0.00592713674516054,0.00829845424392592,0.00493270671028682,-0.0208018047665936,0.00157508113837378
43,individual43,GBR,22,-0.0106077057168904,0.0278025454921399,-0.0112074851585677,-0.0175395749587847,0.00194135983922561,0.00318128555760572,0.00450850280304288,-0.00179318750989139,0.00183897884901375,0.0264876880103102,0.00300482026371583,-0.0149608233349194,0.00143431140338831,0.00116290334026761,-0.00275262652438174,-0.00505926673155629,-0.00345489045425615,-0.0123331078638333,-0.0128462853869182,0.000382977112257918,0.00555040571429576,0.0048816551458453,0.00761514027696033,-0.00717813980000272,0.00786043150728724
44,individual44,GBR,22,-0.0113589790866259,0.0265282266126932,-0.0112558159162226,-0.0183281926003325,0.00230394860499549,-0.00253427443093069,0.0091082528478258,-0.00374889888070645,-0.00419944978029626,-0.00172947436509112,0.00207376074588994,-0.00299697841763387,0.0213729244364468,0.00974004912052214,-0.000392435562204776,-0.0110388547725431,-0.00426467945244716,-0.022922261868972,-0.0234688469061768,-0.0031602249837137,0.0150632353662283,0.0136673850681413,0.000189707509334404,-0.0130827989092715,-0.000838823764801327
45,individual45,GBR,22,-0.0111444720846415,0.0276045910192625,-0.0128543176055429,-0.0185818976352949,-0.000583118699334576,-0.00128271720579082,0.00887740456577071,-0.00234500423016726,-0.000107658368118707,0.00721502000817144,-0.0055223396671137,-0.00178057807992146,0.00277857156027262,0.0068183618304234,0.00338934073905493,-0.000553115987882527,0.00657078561868412,-0.0234123112669387,-0.0243103844482908,-0.00935167809725689,0.0182772139394536,0.0198088219752307,0.00459995342926296,-0.0248592003424206,0.00826154132579731
46,individual46,GBR,22,-0.010787960299435,0.0275402200964485,-0.0108465068025592,-0.0192035006916003,-0.00232696437102051,0.00200575746883787,0.0106319522353085,-0.00549571925218805,0.00330213661182163,0.0422362633379941,0.00756766807146404,-0.0172637230804337,0.00701273488561904,0.0093515602296727,-0.00266181439647235,-0.00395870405176165,-0.00098785905898415,-0.00937902079163455,-0.0206848638252343,-0.00153533748977058,0.0195484853690396,0.00490777931031851,-0.000746345618160746,-0.0131892262506887,0.0122975106585353
47,individual47,GBR,22,-0.0107448991405957,0.0278185923958522,-0.013529412168163,-0.0183786890340805,0.00061082349569187,0.00369789824294638,0.00965560328483392,0.00112072620387888,-0.00559838607100425,0.0321335238493693,-0.00420241024686095,-0.0143347364077197,0.00470118256527278,0.0156075050818717,0.00394657862725425,-0.00660385819557833,-0.00188842647805025,-0.00471950881639672,-0.0122737787456876,-0.00515293627531204,0.00332238817403976,-0.000839847352689301,0.00955468732053053,-0.00822990246031809,-0.00195384366977808
48,individual48,GBR,22,-0.0108358386918165,0.0270621276915684,-0.0118497673103137,-0.0167862232625847,0.0016923850241385,0.00174388085939463,0.00940389351187007,-0.00260008861778909,0.00834159331374128,0.0253961792031422,0.00204103335796923,-0.0108783953141062,0.0114548983241013,0.0138393837535532,-0.0119073340919005,-0.0030041216862248,0.0010622994615244,-0.015477416623309,-0.00680533978754476,0.0017794991348185,0.00497764296543053,0.00900982597535114,0.0167657369297336,-0.0162178179788137,0.00269181759744531
49,individual49,GBR,22,-0.0106303551062119,0.0267388752665968,-0.0122937265326912,-0.0174099609299117,0.000966853661424242,0.00230181811946143,0.012857037799535,-0.00148039472664639,-0.00125139592733693,0.0259557727001984,0.00470494497094394,-0.0209838178554164,0.0052165159608849,0.0198682241233961,-0.00144897765123906,-0.00443826398047268,-0.0045940103275121,-0.000347413736937305,-0.0117599961475234,0.00117040952803109,0.000449621706512019,0.00805568714293521,0.000742011394440251,-0.0145313304299711,-0.000200345024032798
50,individual50,GBR,22,-0.0110513147451887,0.0283161220023776,-0.0129815962484989,-0.0179449851519544,0.00197244482830353,-0.000352631394283542,0.0114271982750859,0.000954281052861198,-0.00689486005435549,-3.95797179566536e-05,0.00483198610231298,-0.0104399121317358,0.00627002797109037,0.0039596616693286,9.80578504124625e-05,0.00754361037376045,0.0081037259474688,-0.0138426997930571,-0.0112697989453655,-0.00580001460490326,-0.000218843511920845,0.00163442430393245,0.00323650457687189,-0.00494887137254387,0.0186828773440345
51,individual51,GBR,22,-0.0113781043596116,0.0273387941908424,-0.0129416664316764,-0.017042843088366,0.000294514706459931,0.00221048204251174,0.0111069168863567,-0.0031941169221967,-0.00960306714708509,0.00989746120574404,0.000549219976303554,-0.00180977745268416,0.0167721851364812,0.0151981131536084,0.00258876505317691,-0.00539337626258854,-0.00447629662487342,-0.0302921066409338,-0.0329781224130324,-0.00367300091137525,0.00256906010825413,0.013022567428628,0.00132428244270469,-0.0271412390465562,0.00433627387926292
52,individual52,GBR,22,-0.0109211162821438,0.0279052799654717,-0.0132836328564472,-0.0193395051891906,0.00272472442086308,0.000165712959625573,0.0114572114653722,-0.000264106373151553,0.00242162254222335,0.00220503318928955,0.000932471220443345,-0.000925984509975701,0.0297534942204263,0.000479447721709429,-0.00510699344417701,0.00224828530043744,-0.00316745517567656,-0.0309679090420905,-0.02518379623525,-0.0141072168688626,0.0161275133038087,0.0158024227201337,0.00413893339725671,-0.0157976925330045,-0.00358493267270212
53,individual53,GBR,22,-0.010685944764425,0.026736178866675,-0.0140025311384034,-0.017722977942967,0.000948699663833225,0.000253204475015447,0.00987959927056185,-0.00250915785251795,-0.00358974739056432,0.000532974846567891,-0.00652195709090475,-0.00555051352212188,0.0272551477215435,0.00519628521992453,0.00169430568027924,-0.00502741718256593,-0.00725234547922992,-0.0307248377548098,-0.0252184789143352,-0.0198739949635847,0.0174981956253237,0.0144583880250798,0.0127314947261932,-0.0167627345328071,0.0122453477967952
54,individual54,GBR,22,-0.0106929723914554,0.027341810724048,-0.0126252354690702,-0.0175259318045157,0.00104296216178252,-0.00041589283984826,0.00856172122671975,0.00024782636225954,-0.00910495996293767,0.0135455870329261,-0.00607267360754403,-0.000931657207281566,0.0138584887026722,0.0106028596407294,0.010562791979295,0.00194120270701468,0.00432032772442702,-0.033534101301568,-0.0241580400089331,-0.0129238857898048,0.00316885204990006,0.0151466308895448,-0.00313732950160793,-0.0172608628048215,0.0205556302366827
